證券代碼,年,董事席次(含獨立董事),獨立董事席次,女性董事席次,女性董事比率
1101 台泥,2021    ,15,5,4,27.00
1102 亞泥,2021    ,14,3,0,0.00
1103 嘉泥,2021    ,7,3,0,0.00
1104 環泥,2021    ,7,3,0,0.00
1108 幸福,2021    ,7,3,2,28.57
1109 信大,2021    ,9,3,1,11.11
1110 東泥,2021    ,10,3,1,10.00
1201 味全,2021    ,9,3,0,0.00
1203 味王,2021    ,15,3,1,6.70
1210 大成,2021    ,10,3,0,0.00
1213 大飲,2021    ,9,3,1,11.00
1215 卜蜂,2021    ,8,3,0,0.00
1216 統一,2021    ,13,3,3,22.08
1217 愛之味,2021    ,9,3,0,0.00
1218 泰山,2021    ,9,3,1,11.11
1219 福壽,2021    ,9,3,3,33.33
1220 台榮,2021    ,12,3,2,16.67
1225 福懋油,2021    ,9,3,2,22.22
1227 佳格,2021    ,7,3,1,14.29
1229 聯華,2021    ,10,3,1,10.00
1231 聯華食,2021    ,9,3,2,22.20
1232 大統益,2021    ,11,3,0,0.00
1233 天仁,2021    ,7,2,0,0.00
1234 黑松,2021    ,14,3,3,21.40
1235 興泰,2021    ,7,3,1,14.29
1236 宏亞,2021    ,6,3,3,50.00
1240 茂生農經,2021    ,7,3,1,14.28
1256 鮮活果汁-KY,2021    ,8,3,2,25.00
1258 其祥-KY,2021    ,7,3,1,14.29
1259 安心,2021    ,11,3,2,18.00
1264 德麥,2021    ,9,3,2,22.22
1268 漢來美食,2021    ,7,3,1,14.29
1301 台塑,2021    ,15,4,2,13.00
1303 南亞,2021    ,15,3,2,13.00
1304 台聚,2021    ,9,3,0,0.00
1305 華夏,2021    ,9,3,0,0.00
1307 三芳,2021    ,7,3,0,0.00
1308 亞聚,2021    ,9,3,0,0.00
1309 台達化,2021    ,9,5,1,11.00
1310 台苯,2021    ,11,3,0,0.00
1312 國喬,2021    ,7,3,1,14.29
1313 聯成,2021    ,10,3,0,0.00
1314 中石化,2021    ,9,3,1,11.11
1315 達新,2021    ,8,3,0,0.00
1319 東陽,2021    ,7,3,1,14.29
1321 大洋,2021    ,10,4,2,20.00
1323 永裕,2021    ,11,4,0,0.00
1324 地球,2021    ,5,3,0,0.00
1325 恒大,2021    ,7,3,3,42.86
1326 台化,2021    ,15,3,1,6.70
1336 台翰,2021    ,7,3,1,14.29
1337 再生-KY,2021    ,7,3,0,0.00
1338 廣華-KY,2021    ,7,3,0,0.00
1339 昭輝,2021    ,9,4,2,2.22
1340 勝悅-KY,2021    ,7,3,1,14.28
1341 富林-KY,2021    ,7,3,0,0.00
1342 八貫,2021    ,7,3,0,0.00
1402 遠東新,2021    ,13,3,2,15.00
1409 新纖,2021    ,12,3,1,8.33
1410 南染,2021    ,7,4,0,0.00
1413 宏洲,2021    ,9,2,2,22.00
1414 東和,2021    ,7,3,1,14.00
1416 廣豐,2021    ,8,3,0,0.00
1417 嘉裕,2021    ,7,3,2,28.60
1418 東華,2021    ,9,2,0,0.00
1419 新紡,2021    ,7,3,0,0.00
1423 利華,2021    ,5,3,5,100.00
1432 大魯閣,2021    ,9,4,2,22.22
1434 福懋,2021    ,11,3,1,9.09
1435 中福,2021    ,7,3,0,0.00
1436 華友聯,2021    ,9,3,0,0.00
1437 勤益控,2021    ,7,3,0,0.00
1438 三地開發,2021    ,7,3,2,28.57
1439 雋揚,2021    ,7,3,1,14.00
1440 南紡,2021    ,20,4,5,25.00
1441 大東,2021    ,7,3,1,14.29
1442 名軒,2021    ,7,3,2,28.57
1443 立益物流,2021    ,9,2,0,0.00
1444 力麗,2021    ,9,3,1,11.11
1445 大宇,2021    ,7,3,0,0.00
1446 宏和,2021    ,9,3,2,22.22
1447 力鵬,2021    ,9,3,2,22.22
1449 佳和,2021    ,11,3,0,0.00
1451 年興,2021    ,9,3,0,0.00
1452 宏益,2021    ,9,3,1,11.11
1453 大將,2021    ,7,3,1,14.29
1454 台富,2021    ,9,2,0,0.00
1455 集盛,2021    ,10,3,1,10.00
1456 怡華,2021    ,9,2,1,11.00
1457 宜進,2021    ,9,3,3,33.33
1459 聯發,2021    ,9,3,0,0.00
1460 宏遠,2021    ,11,3,0,0.00
1463 強盛新,2021    ,7,2,1,11.11
1464 得力,2021    ,7,3,0,0.00
1465 偉全,2021    ,7,3,1,14.29
1466 聚隆,2021    ,10,3,2,20.00
1467 南緯,2021    ,11,3,1,9.09
1468 昶和,2021    ,7,3,1,14.28
1470 大統新創,2021    ,11,3,0,0.00
1471 首利,2021    ,7,3,2,28.57
1472 三洋實業,2021    ,7,3,1,14.28
1473 台南,2021    ,11,3,4,36.36
1474 弘裕,2021    ,11,3,1,9.09
1475 業旺,2021    ,5,3,1,20.00
1476 儒鴻,2021    ,12,4,1,8.33
1477 聚陽,2021    ,15,3,6,40.00
1503 士電,2021    ,14,3,0,0.00
1504 東元,2021    ,11,4,2,18.18
1506 正道,2021    ,9,3,1,11.11
1512 瑞利,2021    ,7,3,0,0.00
1513 中興電,2021    ,9,3,1,11.11
1514 亞力,2021    ,12,3,2,16.66
1515 力山,2021    ,9,4,1,11.11
1516 川飛,2021    ,8,3,2,25.00
1517 利奇,2021    ,7,3,4,57.00
1519 華城,2021    ,9,3,0,0.00
1521 大億,2021    ,9,3,1,11.00
1522 堤維西,2021    ,9,3,0,0.00
1524 耿鼎,2021    ,10,2,1,14.28
1525 江申,2021    ,9,2,1,11.11
1526 日馳,2021    ,9,4,3,33.33
1527 鑽全,2021    ,11,3,1,9.10
1528 恩德,2021    ,7,3,1,14.00
1529 樂事綠能,2021    ,11,3,1,9.10
1530 亞崴,2021    ,7,3,0,0.00
1531 高林股,2021    ,7,3,2,28.57
1532 勤美,2021    ,9,3,2,22.00
1533 車王電,2021    ,8,3,1,9.09
1535 中宇,2021    ,11,3,1,9.09
1536 和大,2021    ,13,3,3,23.00
1537 廣隆,2021    ,9,3,0,0.00
1538 正峰,2021    ,5,2,0,0.00
1539 巨庭,2021    ,7,3,2,29.00
1540 喬福,2021    ,7,3,1,14.29
1541 錩泰,2021    ,5,2,3,60.00
