證券代碼,年,員工人數 (揭露值),男性人數,女性人數,男性比率%,女性比率%,離平均%
1101 台泥,2021,1146,930,216,81.15,18.85,18.85
1102 亞泥,2021,1723,1511,212,87.7,12.3,12.3
1103 嘉泥,2021,432,215,217,49.77,50.23,49.77
1104 環泥,2021,713,607,106,85.13,14.87,14.87
1108 幸福,2021,452,380,72,84,16,16
1109 信大,2021,344,317,27,92.15,7.85,7.85
1110 東泥,2021,104,91,13,87.5,12.5,12.5
1201 味全,2021,1374,912,462,66.38,33.62,33.62
1203 味王,2021,725,360,365,50.34,49.66,49.66
1210 大成,2021,2585,1674,911,64.76,35.24,35.24
1213 大飲,2021,118,64,54,54,46,46
1215 卜蜂,2021,2193,1147,1046,52.3,47.7,47.7
1216 統一,2021,5461,3343,2118,61.22,38.78,38.78
1217 愛之味,2021,556,254,302,45.68,54.32,45.68
1218 泰山,2021,654,395,259,60.4,39.6,39.6
1219 福壽,2021,601,438,163,72.88,27.12,27.12
1220 台榮,2021,218,156,62,71.56,28.44,28.44
1225 福懋油,2021,230,130,100,56.52,43.48,43.48
1227 佳格,2021,1255,886,369,70.6,29.4,29.4
1229 聯華,2021,322,203,119,63.04,36.96,36.96
1231 聯華食,2021,2106,1181,925,56.08,43.92,43.92
1232 大統益,2021,145,101,44,69.66,30.34,30.34
1233 天仁,2021,1382,480,902,34.73,65.36,34.64
1234 黑松,2021,540,383,157,71,29,29
1235 興泰,2021,20,12,8,60,40,40
1236 宏亞,2021,645,254,391,39.38,60.62,39.38
1256 鮮活果汁-KY,2021,941,407,534,43.25,56.75,43.25
1301 台塑,2021,6461,5824,637,90.14,9.86,9.86
1303 南亞,2021,19400,15239,4161,78.55,21.45,21.45
1304 台聚,2021,465,430,35,92.47,7.53,7.53
1305 華夏,2021,908,823,85,90.6,9.4,9.4
1307 三芳,2021,665,534,131,80.3,19.7,19.7
1308 亞聚,2021,222,210,12,94.59,5.41,5.41
1309 台達化,2021,507,433,74,85.4,14.6,14.6
1310 台苯,2021,187,161,26,86.1,13.9,13.9
1312 國喬,2021,381,352,29,92.39,7.61,7.61
1313 聯成,2021,226,172,54,76.11,23.89,23.89
1314 中石化,2021,1347,1118,229,83,17,17
1316 上曜,2021,77,28,49,36.36,63.64,36.36
1319 東陽,2021,3302,2667,635,80.77,19.23,19.23
1321 大洋,2021,453,402,51,88.74,11.26,11.26
1323 永裕,2021,742,390,352,52.56,47.44,47.44
1326 台化,2021,5157,4464,693,86.56,13.44,13.44
1337 再生-KY,2021,586,,,,,0
1338 廣華-KY,2021,3265,1966,1299,60.21,39.79,39.79
1402 遠東新,2021,21535,10768,10768,50,50,50
1409 新纖,2021,1533,1221,312,80,20,20
1410 南染,2021,170,,,,,0
1413 宏洲,2021,234,176,58,75.21,24.79,24.79
1419 新紡,2021,530,194,336,36.6,63.4,36.6
1434 福懋,2021,7258,4246,3012,58.5,41.5,41.5
1437 勤益控,2021,17,6,11,35.29,64.71,35.29
1440 南紡,2021,1044,808,236,77.39,22.61,22.61
1444 力麗,2021,1054,687,367,65.18,34.82,34.82
1447 力鵬,2021,1280,785,495,61.33,38.67,38.67
1452 宏益,2021,,,,38,62,38
1455 集盛,2021,1230,835,395,67.89,32.11,32.11
1457 宜進,2021,20,9,11,45,55,45
1459 聯發,2021,188,104,84,55.32,44.68,44.68
1460 宏遠,2021,2780,1384,1396,49.78,50.22,49.78
1466 聚隆,2021,350,241,109,68.86,31.14,31.14
1467 南緯,2021,1904,423,1481,22.22,77.78,22.22
1470 大統新創,2021,,,,66.1,33.9,33.9
1473 台南,2021,11353,2222,9131,19.57,80.43,19.57
1474 弘裕,2021,728,364,364,50,50,50
1476 儒鴻,2021,15810,2416,13394,15.28,84.72,15.28
1477 聚陽,2021,36366,6489,29877,17.84,82.16,17.84
1503 士電,2021,1955,1372,583,70.18,29.82,29.82
1504 東元,2021,2180,1518,662,69.63,30.37,30.37
1513 中興電,2021,1678,1360,318,81.05,18.95,18.95
1514 亞力,2021,634,502,132,79.18,20.82,20.82
1519 華城,2021,750,587,163,78.27,21.73,21.73
1521 大億,2021,,,,67.9,32.1,32.1
1522 堤維西,2021,1615,1111,504,68.79,31.21,31.21
1525 江申,2021,320,264,56,83,17,17
1526 日馳,2021,188,116,72,61.7,38.3,38.3
1527 鑽全,2021,738,550,188,74.53,25.47,25.47
1531 高林股,2021,903,698,205,77.3,22.7,22.7
1532 勤美,2021,1803,1448,355,80.31,19.69,19.69
1533 車王電,2021,1040,455,585,43.75,56.25,43.75
1535 中宇,2021,1180,1022,158,86.61,13.39,13.39
1536 和大,2021,1050,831,219,79.14,20.86,20.86
1539 巨庭,2021,132,68,64,51.52,48.48,48.48
1558 伸興,2021,3142,1240,1902,39.47,60.53,39.47
1563 巧新,2021,1490,1252,238,84.03,15.97,15.97
1582 信錦,2021,252,170,82,67.46,32.54,32.54
1589 永冠-KY,2021,2354,2002,352,85.05,14.95,14.95
1590 亞德客-KY,2021,8495,6104,2391,71.85,28.15,28.15
1598 岱宇,2021,640,394,246,61.56,38.44,38.44
1605 華新,2021,6958,5962,996,85.69,14.31,14.31
1608 華榮,2021,439,371,68,84.51,15.49,15.49
1609 大亞,2021,1583,1305,278,82.44,17.56,17.56
1618 合機,2021,209,141,68,67.65,32.35,32.35
1626 艾美特-KY,2021,3318,1871,1447,56.39,43.61,43.61
1702 南僑,2021,4504,1935,2569,42.96,57.04,42.96
1707 葡萄王,2021,607,282,325,46.46,53.54,46.46
1708 東鹼,2021,163,133,30,81.6,18.4,18.4
1709 和益,2021,240,202,38,84.17,15.83,15.83
1710 東聯,2021,329,293,36,89.06,10.94,10.94
1711 永光,2021,1748,1321,427,75.57,24.43,24.43
1712 興農,2021,1365,827,538,60.59,39.41,39.41
1713 國化,2021,86,75,11,87.21,12.79,12.79
1714 和桐,2021,96,63,33,65.63,34.38,34.38
1717 長興,2021,2090,1621,469,77.56,22.44,22.44
1718 中纖,2021,575,484,91,84.17,15.83,15.83
1720 生達,2021,805,350,455,43.48,56.52,43.48
1721 三晃,2021,499,379,120,75.95,24.05,24.05
1722 台肥,2021,644,512,132,79.5,20.5,20.5
1723 中碳,2021,294,256,38,87.07,12.93,12.93
1725 元禎,2021,109,70,39,64.22,35.78,35.78
1726 永記,2021,711,564,147,79.32,20.68,20.68
1727 中華化,2021,255,200,55,78.43,21.57,21.57
1730 花仙子,2021,275,108,167,39.27,60.73,39.27
1732 毛寶,2021,157,77,80,49.04,50.96,49.04
1733 五鼎,2021,691,171,520,24.7,75.3,24.7
1735 日勝化,2021,215,171,44,79.53,20.47,20.47
1736 喬山,2021,1097,,,,,0
1737 臺鹽,2021,484,287,197,59.3,40.7,40.7
1752 南光,2021,662,,,,,0
1760 寶齡富錦,2021,,,246,32.2,67.8,32.2
1762 中化生,2021,330,238,92,72.12,27.88,27.88
1773 勝一,2021,416,340,76,81.73,18.27,18.27
1776 展宇,2021,129,92,37,71.32,28.68,28.68
1786 科妍,2021,,,,45,55,45
1789 神隆,2021,688,482,206,70.1,29.9,29.9
1795 美時,2021,1162,537,625,46.2,53.8,46.2
