證券代碼,目前狀態,統一編號
1101 台泥,Current ,ID 11913502
1102 亞泥,Current ,ID 03244509
1103 嘉泥,Current ,ID 11892801
1104 環泥,Current ,ID 07568009
1108 幸福,Current ,ID 40601248
1109 信大,Current ,ID 03279507
1110 東泥,Current ,ID 83078600
1201 味全,Current ,ID 11347802
1203 味王,Current ,ID 07067309
1210 大成,Current ,ID 73008303
1213 大飲,Current ,ID 35012903
1215 卜蜂,Current ,ID 36514783
1216 統一,Current ,ID 73251209
1217 愛之味,Current ,ID 65534366
1218 泰山,Current ,ID 59661701
1219 福壽,Current ,ID 56192402
1220 台榮,Current ,ID 03543210
1225 福懋油,Current ,ID 22102298
1227 佳格,Current ,ID 22102473
1229 聯華,Current ,ID 11996904
1231 聯華食,Current ,ID 07569627
1232 大統益,Current ,ID 20927014
1233 天仁,Current ,ID 18559415
1234 黑松,Current ,ID 20651901
1235 興泰,Current ,ID 85617982
1236 宏亞,Current ,ID 34106066
1256 鮮活果汁-KY,Current ,ID 37759808
1301 台塑,Current ,ID 75708007
1303 南亞,Current ,ID 75370905
1304 台聚,Current ,ID 11917107
1305 華夏,Current ,ID 11686106
1307 三芳,Current ,ID 83387850
1308 亞聚,Current ,ID 20747385
1309 台達化,Current ,ID 11893409
1310 台苯,Current ,ID 20844865
1312 國喬,Current ,ID 04212250
1313 聯成,Current ,ID 04748660
1314 中石化,Current ,ID 03084741
1315 達新,Current ,ID 51059101
1316 上曜,Current ,ID 73654033
1319 東陽,Current ,ID 68326665
1321 大洋,Current ,ID 15024509
1323 永裕,Current ,ID 68192103
1324 地球,Current ,ID 07147916
1325 恒大,Current ,ID 11455800
1326 台化,Current ,ID 58650902
1337 再生-KY,Current ,ID 26068617
1338 廣華-KY,Current ,ID 26594386
1339 昭輝,Current ,ID 22078327
1340 勝悅-KY,Current ,ID 37722768
1341 富林-KY,Current ,ID 82716171
1342 八貫,Current ,ID 12386676
1402 遠東新,Current ,ID 03522600
1409 新纖,Current ,ID 07435515
1410 南染,Current ,ID 35286207
1413 宏洲,Current ,ID 07220710
1414 東和,Current ,ID 73141105
1416 廣豐,Current ,ID 43434316
1417 嘉裕,Current ,ID 11825825
1418 東華,Current ,ID 11083148
1419 新紡,Current ,ID 07435901
1423 利華,Current ,ID 11311608
1432 大魯閣,Current ,ID 04690983
1434 福懋,Current ,ID 14001199
1435 中福,Current ,ID 03101946
1436 華友聯,Current ,ID 07510318
1437 勤益控,Current ,ID 35535607
1438 三地開發,Current ,ID 03561011
1439 雋揚,Current ,ID 11113403
1440 南紡,Current ,ID 68919301
1441 大東,Current ,ID 51037304
1442 名軒,Current ,ID 04615057
1443 立益物流,Current ,ID 04287483
1444 力麗,Current ,ID 07663290
1445 大宇,Current ,ID 07015014
1446 宏和,Current ,ID 73641170
1447 力鵬,Current ,ID 33955322
1449 佳和,Current ,ID 72055019
1451 年興,Current ,ID 22266307
1452 宏益,Current ,ID 43121481
1453 大將,Current ,ID 07617901
1454 台富,Current ,ID 04301794
1455 集盛,Current ,ID 43295237
1456 怡華,Current ,ID 33144175
1457 宜進,Current ,ID 07669338
1459 聯發,Current ,ID 33653494
1460 宏遠,Current ,ID 22817999
1463 強盛新,Current ,ID 07715023
1464 得力,Current ,ID 73686632
1465 偉全,Current ,ID 33700601
1466 聚隆,Current ,ID 22976047
1467 南緯,Current ,ID 69559487
1468 昶和,Current ,ID 36123364
1470 大統新創,Current ,ID 22267777
1471 首利,Current ,ID 07699023
1472 三洋實業,Current ,ID 07029919
1473 台南,Current ,ID 68919702
1474 弘裕,Current ,ID 58003997
1475 業旺,Current ,ID 23912057
1476 儒鴻,Current ,ID 35884479
1477 聚陽,Current ,ID 23609668
1503 士電,Current ,ID 11039306
1504 東元,Current ,ID 11332202
1506 正道,Current ,ID 68193807
1512 瑞利,Current ,ID 85330636
1513 中興電,Current ,ID 33029464
1514 亞力,Current ,ID 03213392
1515 力山,Current ,ID 55759180
1516 川飛,Current ,ID 22071751
1517 利奇,Current ,ID 59008318
1519 華城,Current ,ID 33284077
1521 大億,Current ,ID 69408876
1522 堤維西,Current ,ID 22269487
1524 耿鼎,Current ,ID 22081250
1525 江申,Current ,ID 35129100
1526 日馳,Current ,ID 11099726
1527 鑽全,Current ,ID 20982120
1528 恩德,Current ,ID 11551634
1529 樂事綠能,Current ,ID 34211074
1530 亞崴,Current ,ID 22224692
1531 高林股,Current ,ID 29538509
1532 勤美,Current ,ID 03474311
1533 車王電,Current ,ID 04827138
1535 中宇,Current ,ID 84252401
1536 和大,Current ,ID 52264848
1537 廣隆,Current ,ID 23556563
1538 正峰,Current ,ID 44947686
1539 巨庭,Current ,ID 52646207
1540 喬福,Current ,ID 52903090
1541 錩泰,Current ,ID 23248433
1558 伸興,Current ,ID 55754185
1560 中砂,Current ,ID 03089008
1563 巧新,Current ,ID 84980915
1568 倉佑,Current ,ID 66654986
1582 信錦,Current ,ID 35966577
1583 程泰,Current ,ID 52353530
1587 吉茂,Current ,ID 24157564
1589 永冠-KY,Current ,ID 41048746
1590 亞德客-KY,Current ,ID 53666460
1597 直得,Current ,ID 16755427
1598 岱宇,Current ,ID 23751545
1603 華電,Current ,ID 35882520
1604 聲寶,Current ,ID 03607500
1605 華新,Current ,ID 35412204
1608 華榮,Current ,ID 79460007
1609 大亞,Current ,ID 68035907
1611 中電,Current ,ID 03086001
1612 宏泰,Current ,ID 43125162
1614 三洋電,Current ,ID 03564501
1615 大山,Current ,ID 64829434
1616 億泰,Current ,ID 22819700
1617 榮星,Current ,ID 73341336
1618 合機,Current ,ID 23206102
1626 艾美特-KY,Current ,ID 34995738
1702 南僑,Current ,ID 07305506
1707 葡萄王,Current ,ID 11880517
1708 東鹼,Current ,ID 11384405
1709 和益,Current ,ID 04312878
1710 東聯,Current ,ID 14057995
1711 永光,Current ,ID 15458455
1712 興農,Current ,ID 51911712
1713 國化,Current ,ID 03375001
1714 和桐,Current ,ID 12526607
1717 長興,Current ,ID 75339004
1718 中纖,Current ,ID 07066907
1720 生達,Current ,ID 71122503
1721 三晃,Current ,ID 55738290
1722 台肥,Current ,ID 03795101
1723 中碳,Current ,ID 23221384
1725 元禎,Current ,ID 12132033
1726 永記,Current ,ID 75137605
1727 中華化,Current ,ID 03558206
1730 花仙子,Current ,ID 07708830
1731 美吾華,Current ,ID 14089976
1732 毛寶,Current ,ID 34245356
1733 五鼎,Current ,ID 16130182
1734 杏輝,Current ,ID 42042734
1735 日勝化,Current ,ID 23263551
1736 喬山,Current ,ID 52347361
1737 臺鹽,Current ,ID 89397503
1752 南光,Current ,ID 69275313
1760 寶齡富錦,Current ,ID 04742997
1762 中化生,Current ,ID 03088704
1773 勝一,Current ,ID 75970680
1776 展宇,Current ,ID 47061800
1783 和康生,Current ,ID 16749811
1786 科妍,Current ,ID 13159100
1789 神隆,Current ,ID 16130161
1795 美時,Current ,ID 11456110
1802 台玻,Current ,ID 11914002
1805 寶徠,Current ,ID 12179563
1806 冠軍,Current ,ID 49701774
1808 潤隆,Current ,ID 34149369
1809 中釉,Current ,ID 47056834
1810 和成,Current ,ID 03228304
1817 凱撒衛,Current ,ID 22746550
1903 士紙,Current ,ID 11038101
1904 正隆,Current ,ID 33085508
1905 華紙,Current ,ID 94025264
1906 寶隆,Current ,ID 12030606
1907 永豐餘,Current ,ID 85066002
1909 榮成,Current ,ID 34202841
2002 中鋼,Current ,ID 30414175
2006 東和鋼鐵,Current ,ID 75280209
2007 燁興,Current ,ID 75992214
2008 高興昌,Current ,ID 75466009
2009 第一銅,Current ,ID 82001528
2010 春源,Current ,ID 11529802
2012 春雨,Current ,ID 88187108
2013 中鋼構,Current ,ID 85800192
2014 中鴻,Current ,ID 07838854
2015 豐興,Current ,ID 55389357
2017 官田鋼,Current ,ID 72065240
2020 美亞,Current ,ID 44680700
2022 聚亨,Current ,ID 79841479
2023 燁輝,Current ,ID 75947936
2024 志聯,Current ,ID 43633504
2025 千興,Current ,ID 70005915
2027 大成鋼,Current ,ID 22318348
2028 威致,Current ,ID 69771636
2029 盛餘,Current ,ID 79837539
2030 彰源,Current ,ID 60330130
2031 新光鋼,Current ,ID 35836625
2032 新鋼,Current ,ID 34008635
2033 佳大,Current ,ID 72072615
2034 允強,Current ,ID 59068700
2038 海光,Current ,ID 75470524
2049 上銀,Current ,ID 23503047
2059 川湖,Current ,ID 22274989
2062 橋椿,Current ,ID 59353423
2069 運錩,Current ,ID 22533297
2101 南港,Current ,ID 11520909
2102 泰豐,Current ,ID 44721408
2103 台橡,Current ,ID 03553737
2104 國際中橡,Current ,ID 04382114
2105 正新,Current ,ID 59504506
2106 建大,Current ,ID 59619900
2107 厚生,Current ,ID 03283306
2108 南帝,Current ,ID 12209807
2109 華豐,Current ,ID 59760104
2114 鑫永銓,Current ,ID 51704734
2115 六暉-KY,Current ,ID 38773146
2201 裕隆,Current ,ID 03489200
2204 中華,Current ,ID 03098415
2206 三陽工業,Current ,ID 24004006
2207 和泰車,Current ,ID 03251108
2208 台船,Current ,ID 04695235
2211 長榮鋼,Current ,ID 81188829
2227 裕日車,Current ,ID 80032530
2228 劍麟,Current ,ID 04359789
2231 為升,Current ,ID 23219346
2233 宇隆,Current ,ID 22702791
2236 百達-KY,Current ,ID 42299452
2239 英利-KY,Current ,ID 47423487
2241 艾姆勒,Current ,ID 53418357
2243 宏旭-KY,Current ,ID 55996613
2247 汎德永業,Current ,ID 20838245
2248 華勝-KY,Current ,ID 73676873
2250 IKKA-KY,Current ,ID 91165085
2301 光寶科,Current ,ID 23357403
2302 麗正,Current ,ID 04982433
2303 聯電,Current ,ID 47217677
2305 全友,Current ,ID 47226140
2308 台達電,Current ,ID 34051920
2312 金寶,Current ,ID 04370927
2313 華通,Current ,ID 04401392
2314 台揚,Current ,ID 47255762
2316 楠梓電,Current ,ID 76026851
2317 鴻海,Current ,ID 04541302
2321 東訊,Current ,ID 47224065
2323 中環,Current ,ID 12205020
2324 仁寶,Current ,ID 21222725
2327 國巨,Current ,ID 22636630
2328 廣宇,Current ,ID 03546618
2329 華泰,Current ,ID 89004161
2330 台積電,Current ,ID 22099131
2331 精英,Current ,ID 22449566
2332 友訊,Current ,ID 22099189
2337 旺宏,Current ,ID 22099548
2338 光罩,Current ,ID 22099408
2340 台亞,Current ,ID 47255947
2342 茂矽,Current ,ID 22099110
2344 華邦電,Current ,ID 22099218
2345 智邦,Current ,ID 22099287
2347 聯強,Current ,ID 23060541
2348 海悅,Current ,ID 22624873
2349 錸德,Current ,ID 23218873
2351 順德,Current ,ID 58506816
2352 佳世達,Current ,ID 12490306
2353 宏碁,Current ,ID 20828393
2354 鴻準,Current ,ID 23707801
2355 敬鵬,Current ,ID 43816068
2356 英業達,Current ,ID 04322046
2357 華碩,Current ,ID 23638777
2359 所羅門,Current ,ID 23640801
2360 致茂,Current ,ID 09461025
2362 藍天,Current ,ID 09424319
2363 矽統,Current ,ID 22099202
2364 倫飛,Current ,ID 79883646
2365 昆盈,Current ,ID 05141520
2367 燿華,Current ,ID 05637971
2368 金像電,Current ,ID 30955404
2369 菱生,Current ,ID 55625676
2371 大同,Current ,ID 11026506
2373 震旦行,Current ,ID 03568400
2374 佳能,Current ,ID 11394902
2375 凱美,Current ,ID 34230543
2376 技嘉,Current ,ID 22044755
2377 微星,Current ,ID 22178368
2379 瑞昱,Current ,ID 22671299
2380 虹光,Current ,ID 22099759
2382 廣達,Current ,ID 22822281
2383 台光電,Current ,ID 86521351
2385 群光,Current ,ID 20954200
2387 精元,Current ,ID 86244265
2388 威盛,Current ,ID 86870786
2390 云辰,Current ,ID 34412092
2392 正崴,Current ,ID 22223510
2393 億光,Current ,ID 34516147
2395 研華,Current ,ID 05155853
2397 友通,Current ,ID 30950652
2399 映泰,Current ,ID 23826200
2401 凌陽,Current ,ID 23821182
2402 毅嘉,Current ,ID 23588039
2404 漢唐,Current ,ID 20938096
2405 輔信,Current ,ID 20980880
2406 國碩,Current ,ID 97178376
2408 南亞科,Current ,ID 89390656
2409 友達,Current ,ID 84149738
2412 中華電,Current ,ID 96979933
2413 環科,Current ,ID 52878846
2414 精技,Current ,ID 12215548
2415 錩新,Current ,ID 44913118
2417 圓剛,Current ,ID 23611974
2419 仲琦,Current ,ID 22029190
2420 新巨,Current ,ID 20970807
2421 建準,Current ,ID 81448796
2423 固緯,Current ,ID 04735004
2424 隴華,Current ,ID 04926876
2425 承啟,Current ,ID 22332192
2426 鼎元,Current ,ID 22434156
2427 三商電,Current ,ID 31275691
2428 興勤,Current ,ID 83639504
2429 銘旺科,Current ,ID 12206203
2430 燦坤,Current ,ID 69568009
2431 聯昌,Current ,ID 35568331
2433 互盛電,Current ,ID 12516241
2434 統懋,Current ,ID 22404266
2436 偉詮電,Current ,ID 22099499
2438 翔耀,Current ,ID 12364770
2439 美律,Current ,ID 52375605
2440 太空梭,Current ,ID 01887370
2441 超豐,Current ,ID 05126366
2442 新美齊,Current ,ID 22006274
2444 兆勁,Current ,ID 89549446
2449 京元電子,Current ,ID 22507241
2450 神腦,Current ,ID 12228473
2451 創見,Current ,ID 23446187
2453 凌群,Current ,ID 04967550
2454 聯發科,Current ,ID 84149961
2455 全新,Current ,ID 97170472
2457 飛宏,Current ,ID 30435973
2458 義隆,Current ,ID 84149224
2459 敦吉,Current ,ID 20863763
2460 建通,Current ,ID 84433564
2461 光群雷,Current ,ID 22099322
2462 良得電,Current ,ID 04877657
2464 盟立,Current ,ID 22099478
2465 麗臺,Current ,ID 22325002
2466 冠西電,Current ,ID 34348590
2467 志聖,Current ,ID 07618057
2468 華經,Current ,ID 12115702
2471 資通,Current ,ID 20873360
2472 立隆電,Current ,ID 52358985
2474 可成,Current ,ID 69905810
2476 鉅祥,Current ,ID 04403568
2477 美隆電,Current ,ID 33750329
2478 大毅,Current ,ID 23534301
2480 敦陽科,Current ,ID 84218848
2481 強茂,Current ,ID 22145016
2482 連宇,Current ,ID 38430938
2483 百容,Current ,ID 52753108
2484 希華,Current ,ID 22771229
2485 兆赫,Current ,ID 12320400
2486 一詮,Current ,ID 35866232
2488 漢平,Current ,ID 68889236
2489 瑞軒,Current ,ID 84929896
2491 吉祥全,Current ,ID 89380545
2492 華新科,Current ,ID 19004316
2493 揚博,Current ,ID 30929883
2495 普安,Current ,ID 84166074
