證券代碼,年月,序號,法定人數,不足人數,進用人數,不足百分比
000020 遠智證券,202001  ,1,1,1,0,100.00
000700 兆豐證券,202001  ,1,1,1,0,100.00
000884 玉山證券,202001  ,1,2,2,0,100.00
000930 華南永昌證券,202001  ,1,1,1,0,100.00
000980 元大證券,202001  ,1,12,4,8,33.33
1101 台泥,202001  ,1,1,1,0,100.00
1101 台泥,202001  ,2,2,2,0,100.00
1102 亞泥,202001  ,1,1,1,0,100.00
1210 大成,202001  ,1,10,5,5,50.00
1210 大成,202001  ,2,1,1,0,100.00
1216 統一,202001  ,1,1,1,0,100.00
1225 福懋油,202001  ,1,2,2,0,100.00
1227 佳格,202001  ,1,3,1,2,33.33
1227 佳格,202001  ,2,9,1,8,11.11
1232 大統益,202001  ,1,1,1,0,100.00
1232 大統益,202001  ,2,2,1,1,50.00
1235 興泰,202001  ,1,2,2,0,100.00
1268 漢來美食,202001  ,1,1,1,0,100.00
1268 漢來美食,202001  ,2,1,1,0,100.00
1301 台塑,202001  ,1,6,1,5,16.67
1303 南亞,202001  ,1,16,2,14,12.50
1303 南亞,202001  ,2,2,2,0,100.00
1303 南亞,202001  ,3,58,1,57,1.72
1304 台聚,202001  ,1,4,2,2,50.00
1310 台苯,202001  ,1,1,1,0,100.00
1314 中石化,202001  ,1,3,1,2,33.33
1314 中石化,202001  ,2,1,1,0,100.00
1321 大洋,202001  ,1,1,1,0,100.00
1326 台化,202001  ,1,1,1,0,100.00
1402 遠東新,202001  ,1,1,1,0,100.00
1409 新纖,202001  ,1,1,1,0,100.00
1410 南染,202001  ,1,1,1,0,100.00
1410 南染,202001  ,2,1,1,0,100.00
1419 新紡,202001  ,1,2,2,0,100.00
1440 南紡,202001  ,1,5,1,4,20.00
1440 南紡,202001  ,2,10,6,4,60.00
1447 力鵬,202001  ,1,7,2,5,28.57
1452 宏益,202001  ,1,2,1,1,50.00
1464 得力,202001  ,1,1,1,0,100.00
1467 南緯,202001  ,1,1,1,0,100.00
1476 儒鴻,202001  ,1,5,1,4,20.00
1490 台灣維達衛生用品,202001  ,1,1,1,0,100.00
1503 士電,202001  ,1,9,1,8,11.11
1503 士電,202001  ,2,5,1,4,20.00
1507 日立永大電梯,202001  ,1,1,1,0,100.00
1507 日立永大電梯,202001  ,2,18,4,14,22.22
1519 華城,202001  ,1,1,1,0,100.00
1532 勤美,202001  ,1,1,1,0,100.00
1538 正峰,202001  ,1,1,1,0,100.00
1565 精華,202001  ,1,35,1,34,2.86
1566 捷邦,202001  ,1,1,1,0,100.00
1582 信錦,202001  ,1,2,2,0,100.00
1584 精剛,202001  ,1,1,1,0,100.00
1595 川寶,202001  ,1,1,1,0,100.00
1605 華新,202001  ,1,4,2,2,50.00
1605 華新,202001  ,2,5,2,3,40.00
1605 華新,202001  ,3,29,9,20,31.03
1701 中化,202001  ,1,4,4,0,100.00
1701 中化,202001  ,2,1,1,0,100.00
1702 南僑,202001  ,1,3,1,2,33.33
1710 東聯,202001  ,1,3,1,2,33.33
1711 永光,202001  ,1,2,2,0,100.00
1711 永光,202001  ,2,6,1,5,16.67
1715 萬洲,202001  ,1,6,5,1,83.33
1716 永信藥品,202001  ,1,1,1,0,100.00
1718 中纖,202001  ,1,26,2,24,7.69
1718 中纖,202001  ,2,1,1,0,100.00
1724 台硝,202001  ,1,2,2,0,100.00
1736 喬山,202001  ,1,11,1,10,9.09
1763 奇美實業,202001  ,1,1,1,0,100.00
1763 奇美實業,202001  ,2,11,8,3,72.73
1764 長春石化,202001  ,1,9,4,5,44.44
1764 長春石化,202001  ,2,26,6,20,23.08
1765 長春樹脂,202001  ,1,21,3,18,14.29
1766 大連化工,202001  ,1,9,4,5,44.44
1776 展宇,202001  ,1,1,1,0,100.00
1780 立弘,202001  ,1,1,1,0,100.00
1788 杏昌,202001  ,1,2,1,1,50.00
1795 美時,202001  ,1,4,2,2,50.00
1802 台玻,202001  ,1,2,1,1,50.00
1802 台玻,202001  ,2,3,2,1,66.67
1813 寶利徠,202001  ,1,1,1,0,100.00
1904 正隆,202001  ,1,3,1,2,33.33
2002 中鋼,202001  ,1,32,7,25,21.88
2002 中鋼,202001  ,2,3,2,1,66.67
2002 中鋼,202001  ,3,1,1,0,100.00
2002 中鋼,202001  ,4,1,1,0,100.00
2010 春源,202001  ,1,14,2,12,14.29
2017 官田鋼,202001  ,1,1,1,0,100.00
2031 新光鋼,202001  ,1,2,1,1,50.00
2056 璋釔,202001  ,1,1,1,0,100.00
2072 世紀風電,202001  ,1,1,1,0,100.00
2103 台橡,202001  ,1,7,1,6,14.29
2104 國際中橡,202001  ,1,1,1,0,100.00
2201 裕隆,202001  ,1,1,1,0,100.00
2201 裕隆,202001  ,2,6,1,5,16.67
2201 裕隆,202001  ,3,2,2,0,100.00
2204 中華,202001  ,1,1,1,0,100.00
2207 和泰車,202001  ,1,1,1,0,100.00
2207 和泰車,202001  ,2,3,1,2,33.33
2207 和泰車,202001  ,3,9,3,6,33.33
2207 和泰車,202001  ,4,3,3,0,100.00
2211 長榮鋼,202001  ,1,3,1,2,33.33
2247 汎德永業,202001  ,1,1,1,0,100.00
2301 光寶科,202001  ,1,2,1,1,50.00
2303 聯電,202001  ,1,1,1,0,100.00
2308 台達電,202001  ,1,8,5,3,62.50
2308 台達電,202001  ,2,10,1,9,10.00
2311 日月光,202001  ,1,4,1,3,25.00
2311 日月光,202001  ,2,38,3,35,7.89
2312 金寶,202001  ,1,1,1,0,100.00
2312 金寶,202001  ,2,13,4,9,30.77
2312 金寶,202001  ,3,6,1,5,16.67
2317 鴻海,202001  ,1,19,5,14,26.32
2317 鴻海,202001  ,2,11,2,9,18.18
2327 國巨,202001  ,1,1,1,0,100.00
2330 台積電,202001  ,1,6,2,4,33.33
2330 台積電,202001  ,2,9,5,4,55.56
2332 友訊,202001  ,1,7,1,6,14.29
2338 光罩,202001  ,1,2,2,0,100.00
2344 華邦電,202001  ,1,29,9,20,31.03
2345 智邦,202001  ,1,25,7,18,28.00
